ChemicalID,GeneSymbol
C056165,NCF2
C056165,PRKCD
C056165,RELA
D000109,ACHE
D000109,CHRM1
D000109,CHRM2
D000109,CHRM3
D000109,CHRM4
D000109,CHRNA1
D000109,CHRNA10
D000109,CHRNA2
D000109,CHRNA3
D000109,CHRNA4
D000109,CHRNA5
D000109,CHRNA7
D000109,CHRNA9
D000109,CHRNB1
D000109,CHRNB2
D000109,CHRNB4
D000109,CHRND
D000109,CHRNE
D000109,CHRNG
D000109,LYNX1
D000109,LYPD1
D000109,NACHRALPHA1
D000109,NACHRALPHA5
D000109,NACHRALPHA6
D000109,RIC-3
D000109,SIGMAR1
D000111,AHR
D000111,AIFM1
D000111,ALB
D000111,ATG12
D000111,ATG5
D000111,CASP3
D000111,CASP8
D000111,CASP9
D000111,CDKN1A
D000111,CDKN1B
D000111,CDKN2A
D000111,CTNNB1
D000111,CYCS
D000111,DNM1L
D000111,DNMT1
D000111,EP300
D000111,ERN1
D000111,EZH2
D000111,FAS
D000111,FOS
D000111,GSK3B
D000111,HMOX1
D000111,HSF1
D000111,HSPA1B
D000111,IL1B
D000111,JUN
D000111,KDM2A
D000111,KEAP1
D000111,MAP3K5
D000111,MAPK8
D000111,MMP9
D000111,MPO
D000111,NFE2L2
D000111,NQO1
D000111,PARK7
D000111,PML
D000111,PPP1R15A
D000111,RELA
D000111,TARDBP
D000111,TET1
D000111,TLR4
D000111,TRAF2
D000111,TXN
D000111,VDAC1
D000111,VDAC2
D000111,XDH
D000111,YWHAH
D000143,ASIC1
D000143,ASIC2
D000143,ASIC3
D000143,PTGS1
D017255,NCOA2
D017255,RXRA
D017255,THRB
D015250,GATA1
D015250,GSTP1
D000157,CHRNA7
D000157,HCN4
D000157,KDM5A
D000157,NOTCH1
D000157,RAF1
D000157,RB1
D000165,APP
D000165,GSTP1
D000166,AHR
D000166,AHR1A
D000166,AHR1B
D000166,AHR2
D000171,ACTG1
D000171,ALB
D000171,ALDH1A1
D000171,ALDH2
D000171,APP
D000171,ATP1A3
D000171,CS
D000171,DDIT3
D000171,FASLG
D000171,GAPDH
D000171,GNB1
D000171,GSTP1
D000171,HDAC2
D000171,HMOX1
D000171,IL2
D000171,INS
D000171,JUN
D000171,MAPT
D000171,MDH2
D000171,MMP14
D000171,MT2
D000171,NFKB1
D000171,PDGFRB
D000171,PON1
D000171,PON2
D000171,PPARG
D000171,RELA
D000171,RNASE1
D000171,SLC25A4
D000171,SNCA
D000171,TP53
D000171,TUBB4A
C058956,CDK4
C058956,CDK6
C058956,CDKN1A
C058956,CDKN1B
C058956,E2F1
C058956,PTGDS
C058956,RB1
D000068816,RARA
D000068816,RARB
D000068816,RARG
C106812,PGR
C106812,THRA
D000241,ADA
D000241,ADORA1
D000241,ADORA2A
D000241,ADORA2B
D000241,ADORA3
D019830,ADORA1
D019830,ADORA3
D000244,ABCC1
D000244,AHR
D000244,CFTR
D000244,CHORDC1
D000244,DTYMK
D000244,ERN1
D000244,HRAS
D000244,HSP90AA1
D000244,ITGA2B
D000244,ITGB1BP2
D000244,ITGB3
D000244,KIF1A
D000244,PPP5C
D000255,ABCB1
D000255,ABCC1
D000255,ABCC4
D000255,ABCC6
D000255,ABCC8
D000255,ABCC9
D000255,AHR
D000255,ALK
D000255,APP
D000255,ARRB2
D000255,ASIC1
D000255,ASIC2
D000255,ASIC3
D000255,ATP7B
D000255,BCL2
D000255,CASP1
D000255,CFTR
D000255,CHORDC1
D000255,CSNK2A1
D000255,CSNK2B
D000255,FAM66C
D000255,FIBH
D000255,FIB-L
D000255,HCK
D000255,HSP90AA1
D000255,IKBKB
D000255,ITGB1BP2
D000255,KCND2
D000255,KCNJ11
D000255,KCNJ8
D000255,KDR
D000255,LRRK2
D000255,MAP2K1
D000255,MIR23
D000255,MIR23B
D000255,NFKBIA
D000255,NLRP3
D000255,NOLC1
D000255,NOS2
D000255,P2RY1
D000255,P2RY11
D000255,P2RY2
D000255,P2RY4
D000255,PIK3CA
D000255,PIK3R1
D000255,PML
D000255,PPP5C
D000255,PYCARD
D000255,RELA
D000255,SFTPA1
D000255,SFTPA2
D000255,SUGT1
D000255,TRPV1
D000266,AHR
D000266,KIF1A
D000266,PTGDR
C039668,TRH
C039668,TRHR
D000080044,ERBB2
C095428,DRD1
D000077716,NFKB1
D000077716,RELA
C109755,CCKBR
C412373,AHR
C412373,ARNT
C412373,BMP2
C412373,CDKN1B
C412373,EGFR
C412373,ESR1
C412373,FOS
C412373,GPER1
C412373,IGF1R
C412373,ITGAV
C412373,ITGB3
C412373,MAPK1
C412373,MAPK3
C412373,NCOR1
C412373,NCOR2
C412373,NFKB1
C412373,PRKCD
C412373,RELA
C412373,SLC1A2
C412373,SRC
C412373,THRB
D000376,GRIN1
D000376,GRIN2A
D000376,GRIN2B
D000376,GRIN2C
D000376,GRIN2D
C430898,CCNA2
C430898,CCND1
C430898,CDKN1B
C430898,CREBBP
C430898,EGFR
C430898,INS
C430898,NCOA1
C430898,PDGFB
C430898,RB1
C430898,RXRA
C430898,RXRB
C430898,RXRG
C084711,HTR2C
C084711,MTNR1A
C084711,MTNR1B
C046926,AKT1
C046926,ARRB1
C046926,AXIN1
C046926,BAD
C046926,BAX
C046926,BCL2
C046926,BCL2L1
C046926,CTNNB1
C046926,EGFR
C046926,GSK3B
C046926,IL1R1
C046926,MAPK1
C046926,MAPK3
C046926,PTGER2
C046926,PTGER4
C046926,SRC
C046926,TNFRSF1A
C031143,ABL1
C031143,BECN1
C031143,CCNA2
C031143,CCNB1
C031143,CTNNB1
C031143,ELAVL1
C031143,HDAC5
C031143,MEF2
C031143,PRKAA1
C031143,PRKAA2
C031143,PRKAB2
C031143,PRKAG1
C031143,XPO1
C031143,YWHAQ
C048980,PPARG
C048980,RELA
D000420,ADRB1
D000420,ADRB2
D000420,ADRB3
D000420,MAPK1
D000420,MAPK3
D000443,CHRM4
D000443,CHRNA4
D000443,CHRNB2
C008088,MED1
C008088,NCOA1
C008088,RXRA
C008088,SOD1
C008088,VDR
D015760,OPRM1
C047638,ADRA1A
C047638,ADRA1B
C047638,ADRA1D
D000077556,BGLAP
D000077556,CCL2
D000077556,CCNA2
D000077556,CDKN1B
D000077556,CYP19A1
D000077556,CYP26C1
D000077556,CYP3A4
D000077556,GSTA2
D000077556,H3-4
D000077556,H4C16
D000077556,IFNG
D000077556,IGFBP3
D000077556,IL12A
D000077556,IL12B
D000077556,INS
D000077556,NCOA1
D000077556,NR1I2
D000077556,NR1I3
D000077556,PDGFB
D000077556,PPARG
D000077556,PRAME
D000077556,PSG5
D000077556,RARA
D000077556,RARB
D000077556,RARG
D000077556,RB1
D000077556,RXRA
D000077556,RXRB
D000077556,RXRG
D000077556,STAT1
D000077556,TGIF1
D000077556,TGM2
D000077556,VDR
C033968,DRD2
C006452,TRPA1
D000493,IL6
D000493,NFAT5
C004471,NR1I2
C004471,NR1I3
C004471,TRPA1
C038491,NR1I3
C409045,HTR1B
C409045,HTR1D
C050408,HTR1A
C050408,SIGMAR1
