GeneSymbol,DiseaseID,InferenceScore
ADCYAP1,MESH:D011595,1
ADCYAP1,MESH:D012640,1
ADCYAP1,MESH:D053201,1
ADCYAP1R1,MESH:D001249,1
ADD1,MESH:D006528,1
ADD1,MESH:D000075222,1
ADD1,MESH:D006973,1
ADD3,MESH:D001714,1
ADD3,MESH:D002545,1
ADD3,MESH:D008106,1
ADD3,MESH:D020258,1
ADGRD2,MESH:D011085,1
ADGRE1,MESH:D008106,1
ADGRE5,MESH:D008171,1
ADGRF4,MESH:D012559,1
ADGRG2,MESH:D010003,1
ADGRG7,MESH:D006528,1
ADGRL3,MESH:D001289,1
ADH1,MESH:D008106,1
ADH1A,MESH:D017114,1
ADH1A,MESH:D065626,1
ADH1B,MESH:D000437,1
ADH1B,MESH:D002544,1
ADH1B,MESH:D015179,1
ADH1B,MESH:D004938,1
ADH1B,MESH:D000077277,1
ADH1B,MESH:D007822,1
ADH1B,MESH:D017114,1
ADH1B,MESH:D009062,1
ADH1B,MESH:D065626,1
ADH1B,MESH:D009765,1
ADH1C,MESH:D000437,1
ADH1C,MESH:D009062,1
ADH4,MESH:D006528,1
ADH4,MESH:D008106,1
ADH4,MESH:D065626,1
ADH7,MESH:D004938,1
ADH7,MESH:D007822,1
ADH7,MESH:D009062,1
ADHFE1,MESH:D008106,1
ADI1,MESH:D011471,1
ADIPOQ,MESH:D001169,1
ADIPOQ,MESH:D001172,1
ADIPOQ,MESH:D050197,1
ADIPOQ,MESH:D002292,1
ADIPOQ,MESH:D056486,1
ADIPOQ,MESH:D023903,1
ADIPOQ,MESH:D003424,1
ADIPOQ,MESH:D016640,1
ADIPOQ,MESH:D003920,1
ADIPOQ,MESH:D003924,1
ADIPOQ,MESH:D003928,1
ADIPOQ,MESH:D006333,1
ADIPOQ,MESH:D006556,1
ADIPOQ,MESH:D006940,1
ADIPOQ,MESH:D006943,1
ADIPOQ,MESH:D006973,1
ADIPOQ,MESH:D007249,1
ADIPOQ,MESH:D007333,1
ADIPOQ,MESH:D007676,1
ADIPOQ,MESH:D008106,1
ADIPOQ,MESH:D024821,1
ADIPOQ,MESH:D017202,1
ADIPOQ,MESH:D015428,1
ADIPOQ,MESH:D065626,1
ADIPOQ,MESH:D009765,1
ADIPOQ,MESH:D011654,1
ADIPOQ,MESH:D011658,1
ADIPOQ,MESH:D015430,1
ADIPOQ,MESH:D015431,1
ADIPOR1,MESH:D007247,1
ADIPOR1,MESH:D007676,1
ADIPOR2,MESH:D007247,1
ADK,MESH:D000860,1
ADK,MESH:D008607,1
ADM,MESH:D001321,1
ADM,MESH:D005921,1
ADM,MESH:D006930,1
ADM,MESH:D006943,1
ADM,MESH:D007333,1
ADM,MESH:D008106,1
ADM,MESH:D010146,1
ADM,MESH:D011085,1
ADM,MESH:D018805,1
ADM,MESH:D013276,1
ADM2,MESH:D017202,1
ADM2,MESH:D014652,1
